Movie_Id,release_year,title,original,listed_in,imdbbis5
1,2019,Norm of the North: King Sized Adventure,0.0,"Children & Family Movies, Comedies",1.55
2,2016,Jandino: Whatever it Takes,0.0,Stand-Up Comedy,2.65
3,2013,Transformers Prime,0.0,Kids' TV,3.9
4,2016,Transformers: Robots in Disguise,0.0,Kids' TV,3.0
5,2017,#realityhigh,0.0,Comedies,2.6
6,2016,Apaches,0.0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",3.4
7,2014,Automata,0.0,"International Movies, Sci-Fi & Fantasy, Thrillers",3.05
8,2017,Fabrizio Copano: Solo pienso en mi,0.0,Stand-Up Comedy,2.55
9,2017,Fire Chasers,1.0,"Docuseries, Science & Nature TV",3.3
10,2014,Good People,0.0,"Action & Adventure, Thrillers",2.75
11,2017,Joaquín Reyes: Una y no más,0.0,Stand-Up Comedy,0.0
12,2015,Kidnapping Mr. Heineken,0.0,"Action & Adventure, Dramas, International Movies",3.05
13,2009,Krish Trish and Baltiboy,0.0,Children & Family Movies,0.0
14,2013,Krish Trish and Baltiboy: Battle of Wits,0.0,Children & Family Movies,0.0
15,2016,Krish Trish and Baltiboy: Best Friends Forever,0.0,Children & Family Movies,0.0
16,2012,Krish Trish and Baltiboy: Comics of India,0.0,Children & Family Movies,0.0
17,2017,Krish Trish and Baltiboy: Oversmartness Never Pays,0.0,Children & Family Movies,0.0
18,2010,Krish Trish and Baltiboy: Part II,0.0,Children & Family Movies,0.0
19,2013,Krish Trish and Baltiboy: The Greatest Trick,0.0,Children & Family Movies,0.0
20,2015,Love,1.0,"Cult Movies, Dramas, Independent Movies",0.0
21,2014,Manhattan Romance,0.0,"Comedies, Independent Movies, Romantic Movies",2.75
22,2015,Moonwalkers,0.0,"Action & Adventure, Comedies, International Movies",3.05
23,2015,Rolling Papers,0.0,Documentaries,3.1
24,2014,Stonehearst Asylum,0.0,"Horror Movies, Thrillers",3.4
25,2015,The Runner,0.0,"Dramas, Independent Movies",2.35
26,2015,6 Years,0.0,"Dramas, Independent Movies, Romantic Movies",2.8
27,2015,Castle of Stars,0.0,"International TV Shows, Romantic TV Shows, TV Comedies",3.3
28,2018,City of Joy,1.0,Documentaries,0.0
29,2018,First and Last,1.0,Docuseries,3.35
30,2011,Laddaland,0.0,"Horror Movies, International Movies",3.15
31,2018,Next Gen,1.0,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",3.3
32,2018,Sierra Burgess Is A Loser,0.0,"Comedies, Romantic Movies",2.95
33,2018,The Most Assassinated Woman in the World,1.0,"Dramas, International Movies, Thrillers",2.65
34,2016,Cézanne et moi,0.0,"Dramas, Independent Movies, International Movies",3.0
35,2019,Archibald's Next Big Thing,0.0,"Kids' TV, TV Comedies",3.9
36,2019,Article 15,0.0,"Dramas, International Movies, Thrillers",4.1
37,2018,Care of Kancharapalem,0.0,"Comedies, Dramas, Independent Movies",4.5
38,2018,Ee Nagaraniki Emaindi,0.0,"Comedies, International Movies",3.9
39,2019,Kill Me If You Dare,0.0,"Comedies, International Movies, Romantic Movies",2.2
40,2019,The Spy,0.0,"International TV Shows, TV Dramas, TV Thrillers",3.95
41,2015,Hell and Back,0.0,"Action & Adventure, Comedies, Independent Movies",2.7
42,2014,PK,0.0,"Comedies, Dramas, International Movies",4.05
43,2015,Hard Tide,0.0,"Dramas, Independent Movies",2.35
44,2015,Elstree 1976,0.0,Documentaries,2.95
45,2019,American Factory: A Conversation with the Obamas,1.0,Documentaries,2.65
46,2012,ATM,0.0,"Comedies, International Movies, Romantic Movies",2.35
47,2009,Bangkok Traffic (Love) Story,0.0,"Comedies, International Movies, Romantic Movies",3.6
48,2014,I Fine... Thank You... Love You,0.0,"Comedies, International Movies, Romantic Movies",3.5
49,2016,One Day,0.0,"Dramas, International Movies, Romantic Movies",0.0
50,2009,Phobia 2,0.0,"Horror Movies, International Movies",3.35
51,2004,Shutter,0.0,"Horror Movies, International Movies",3.55
52,2011,Suckseed,0.0,"Comedies, International Movies",3.75
53,2016,Carrie Pilby,0.0,"Comedies, Dramas",3.3
54,2017,Marc Maron: Too Real,0.0,Stand-Up Comedy,3.55
55,2016,No Tomorrow,0.0,"Romantic TV Shows, TV Comedies, TV Dramas",3.6
56,2016,Saawan,0.0,"Dramas, Independent Movies, International Movies",3.5
57,2017,The Heretics,0.0,Horror Movies,2.35
58,2019,The World We Make,0.0,"Dramas, Romantic Movies",2.45
59,2019,Watchman,0.0,"Comedies, Dramas, International Movies",2.6
60,2018,Black Panther,0.0,"Action & Adventure, Sci-Fi & Fantasy",3.65
61,2015,Man Up,0.0,"Comedies, International Movies, Romantic Movies",3.4
62,2016,Frequency,0.0,"Crime TV Shows, TV Dramas, TV Mysteries",3.65
63,2019,Mo Gilligan: Momentum,0.0,Stand-Up Comedy,3.1
64,2018,Adam Ruins Everything,0.0,TV Comedies,4.05
65,2016,Ben 10,0.0,Kids' TV,3.55
66,2012,Big Miracle,0.0,"Children & Family Movies, Dramas",3.25
67,2018,Christiane Amanpour: Sex & Love Around the World,0.0,Docuseries,3.7
68,2016,The Eighties,0.0,Docuseries,4.15
69,2017,The Nineties,0.0,Docuseries,4.1
70,2015,The Seventies,0.0,Docuseries,4.15
71,2017,We Bare Bears,0.0,"Kids' TV, TV Comedies",3.95
72,2017,The Mayor,0.0,"Dramas, International Movies",0.0
73,2017,The Royal House of Windsor,0.0,"British TV Shows, Docuseries, International TV Shows",3.75
74,2016,Amanda Knox,1.0,Documentaries,3.45
75,2014,Lovesick,1.0,"International TV Shows, Romantic TV Shows, TV Dramas",4.05
76,2018,The Debt Collector,0.0,Action & Adventure,2.85
77,2010,Act of Vengeance,0.0,"Action & Adventure, International Movies",0.0
78,2018,Paradise Lost,0.0,"Dramas, Independent Movies, International Movies",0.0
79,2017,Gerald's Game,1.0,"Horror Movies, Thrillers",3.3
80,2017,Long Shot,1.0,Documentaries,0.0
81,2015,Mak Cun,0.0,"International TV Shows, TV Comedies, TV Dramas",0.0
82,2017,Our Souls at Night,1.0,"Dramas, Romantic Movies",3.45
83,2017,Out of Thin Air,0.0,"Documentaries, International Movies",3.15
84,2017,Paul Hollywood's Big Continental Road Trip,0.0,"British TV Shows, Docuseries, International TV Shows",3.8
85,2014,Satu Hari,0.0,"International TV Shows, TV Dramas",3.1
86,2015,"Monster High: Boo York, Boo York",0.0,"Children & Family Movies, Music & Musicals",3.25
87,2019,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,0.0,"Documentaries, International Movies",0.0
88,2019,Domino,0.0,"International Movies, Thrillers",0.0
89,2019,TUNA GIRL,0.0,"Dramas, International Movies",3.4
90,2012,5CM,0.0,"Dramas, International Movies",0.0
91,2018,Animal World,0.0,"Action & Adventure, International Movies, Sci-Fi & Fantasy",3.25
92,2018,Hold the Dark,1.0,"Action & Adventure, Dramas",2.8
